goos: linux
goarch: amd64
pkg: github.com/opencoff/go-sieve
cpu: 13th Gen Intel(R) Core(TM) i9-13900
BenchmarkSlotState_Zipf_Mixed/s=1.01-32                               	33763549	        34.05 ns/op	       1 B/op	       0 allocs/op
BenchmarkSlotState_Zipf_Mixed/s=1.01-32                               	33771554	        33.75 ns/op	       1 B/op	       0 allocs/op
BenchmarkSlotState_Zipf_Mixed/s=1.20-32                               	22599650	        54.65 ns/op	       1 B/op	       0 allocs/op
BenchmarkSlotState_Zipf_Mixed/s=1.20-32                               	21175291	        55.65 ns/op	       1 B/op	       0 allocs/op
BenchmarkSlotState_Zipf_Mixed/s=1.20-32                               	21563066	        55.63 ns/op	       1 B/op	       0 allocs/op
BenchmarkSlotState_Zipf_Mixed/s=1.50-32                               	14185315	        82.13 ns/op	       2 B/op	       0 allocs/op
BenchmarkSlotState_Zipf_Mixed/s=1.50-32                               	14503743	        82.04 ns/op	       2 B/op	       0 allocs/op
BenchmarkSlotState_Zipf_Mixed/s=1.50-32                               	14791963	        82.02 ns/op	       2 B/op	       0 allocs/op
BenchmarkSieve_Zipf_Get/s=1.01-32                                     	58517967	        18.40 ns/op	       0 B/op	       0 allocs/op
BenchmarkSieve_Zipf_Get/s=1.01-32                                     	59338171	        17.94 ns/op	       0 B/op	       0 allocs/op
BenchmarkSieve_Zipf_Get/s=1.01-32                                     	56844097	        18.49 ns/op	       0 B/op	       0 allocs/op
BenchmarkSieve_Zipf_Get/s=1.20-32                                     	32450926	        36.59 ns/op	       1 B/op	       0 allocs/op
BenchmarkSieve_Zipf_Get/s=1.20-32                                     	31957023	        36.38 ns/op	       1 B/op	       0 allocs/op
BenchmarkSieve_Zipf_Get/s=1.20-32                                     	31764682	        36.57 ns/op	       1 B/op	       0 allocs/op
BenchmarkSieve_Zipf_Get/s=1.50-32                                     	16508931	        70.72 ns/op	       2 B/op	       0 allocs/op
BenchmarkSieve_Zipf_Get/s=1.50-32                                     	18327312	        70.14 ns/op	       1 B/op	       0 allocs/op
BenchmarkSieve_Zipf_Get/s=1.50-32                                     	15425892	        70.22 ns/op	       2 B/op	       0 allocs/op
BenchmarkSieve_Zipf_GetOrAdd/s=1.01-32                                	19019690	        59.83 ns/op	       2 B/op	       0 allocs/op
BenchmarkSieve_Zipf_GetOrAdd/s=1.01-32                                	23601658	        50.43 ns/op	       2 B/op	       0 allocs/op
BenchmarkSieve_Zipf_GetOrAdd/s=1.01-32                                	19817664	        50.91 ns/op	       2 B/op	       0 allocs/op
BenchmarkSieve_Zipf_GetOrAdd/s=1.20-32                                	20576845	        51.64 ns/op	       1 B/op	       0 allocs/op
BenchmarkSieve_Zipf_GetOrAdd/s=1.20-32                                	23334211	        46.10 ns/op	       1 B/op	       0 allocs/op
BenchmarkSieve_Zipf_GetOrAdd/s=1.20-32                                	28139883	        50.08 ns/op	       1 B/op	       0 allocs/op
BenchmarkSieve_Zipf_GetOrAdd/s=1.50-32                                	17179585	        65.00 ns/op	       1 B/op	       0 allocs/op
BenchmarkSieve_Zipf_GetOrAdd/s=1.50-32                                	17511958	        67.04 ns/op	       1 B/op	       0 allocs/op
BenchmarkSieve_Zipf_GetOrAdd/s=1.50-32                                	15801289	        65.59 ns/op	       2 B/op	       0 allocs/op
BenchmarkSieve_Zipf_Probe/s=1.01-32                                   	24359524	        49.37 ns/op	       2 B/op	       0 allocs/op
BenchmarkSieve_Zipf_Probe/s=1.01-32                                   	23164810	        50.20 ns/op	       2 B/op	       0 allocs/op
BenchmarkSieve_Zipf_Probe/s=1.01-32                                   	23998562	        49.34 ns/op	       2 B/op	       0 allocs/op
BenchmarkSieve_Zipf_Probe/s=1.20-32                                   	25198646	        47.40 ns/op	       1 B/op	       0 allocs/op
